link,price,address,numRooms,dateListed
https://www.zoopla.co.uk/for-sale/details/50768679,330000,East Rochester Way Blackfen Sidcup DA15,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768680,399995,Greenhithe Close Sidcup Kent DA15,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768681,327500,Penshurst Avenue Sidcup Kent DA15,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768682,270000,Fern Court 11 East Street Bexleyheath DA7,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768665,490000,Ardoch Road Catford London SE6,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768675,290000,Southend Close Eltham London SE9,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768676,320000,Widecombe Road Mottingham London SE9,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768651,285000,Park Court Park Road Uxbridge Middlesex UB8,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768652,335000,Peerless Drive Harefield Middlesex UB9,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768640,725000,Florence Road Stroud Green London N4,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768616,555000,King Edwards Grove Teddington TW11,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768598,375000,Acorn Way Forest Hill SE23,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768589,2000000,Lyndhurst Terrace Hampstead London NW3,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768586,385000,Grenfell Road Mitcham CR4,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768584,330000,Bromwich House 45 Howson Terrace Richmond Hill Richmond TW10,0,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768578,350000,St Edmunds Close Erith Kent DA18,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/45797545,775000,Marylands Road London W9,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/47254980,935000,Broomwood Road Battersea London SW11,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768534,1695000,Westway Heston Hounslow TW5,5,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768530,425000,Queenswood Avenue Wallington SM6,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768531,235000,Springfield Road Wallington SM6,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768532,575000,The Manor Way Wallington SM6,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768521,350000,Dehavilland Close Northolt Middlesex UB5,3,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50768512,1150000,Palace View 1 Lambeth High Street London SE1,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768485,360000,Ayers Court London SE5,1,2019-01-11
https://www.zoopla.co.uk/new-homes/details/43957159,679950,Queenstown Road Battersea London SW8,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768479,700000,Rozel Road London SW4,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768476,480000,1 Prince Edward Road Hackney London E9,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768461,345000,Lancaster Road London N18,2,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50768445,799950,Nine Elms Point Wandsworth Road London SW8,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/46463779,480000,Tooting Market Tooting High Street London SW17,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/48718818,649000,Bow Road London E3,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768422,415000,Tradewinds Wards Wharf Approach London E16,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768421,365000,Bywell Place London E16,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768423,449000,Spring Apartments 26 Stebondale Street London E14,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768353,799950,Hobbes Walk London SW15,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/49290823,735000,Hadley Way London London N21,3,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50768314,499950,"""Wilson House Type O Third Floor"" at York Road London SW11",1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768315,550000,Perry Hall Road Orpington Kent BR6,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768316,765000,Moorfield Road Orpington Kent BR6,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768308,465000,Northwood Avenue Purley CR8,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768299,199995,Anthony Road London SE25,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768306,389995,Edward Road Addiscombe Croydon CR0,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768304,249995,Lynden Hyrst Addiscombe Road Croydon CR0,2,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50768278,325000,Deptford Broadway London SE8,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768242,475000,Newark Road South Croydon CR2,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768244,475000,Normanshire Drive London London E4,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/44562226,420000,Rathcoole Gardens Crouch End N8,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768163,550000,Linden Avenue Eastcote Middlesex HA4,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768137,275000,Shobroke Close London NW2,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50768119,510000,Village Road Enfield EN1,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767989,1150000,North Worple Way London SW14,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767939,294950,Wheatlands Hounslow Middlesex TW5,2,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50767870,725000,The Cotton Yard Avonley Road London SE14,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767777,1000000,Bream's Buildings London EC4A,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767760,370000,Camden Road London N7,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767697,3000000,Portland Place Marylebone London W1B,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50763556,425000,Campbell Gordon Way London NW2,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767644,595000,Tolmers Square London NW1,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50763317,535000,Isambard Place London SE16,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767624,625000,Onslow Road Richmond Surrey TW10,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/13596694,359950,Hamilton Square Sandringham Gardens North Finchley N12,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/38631984,465000,Rugby Avenue Sudbury Middlesex HA0,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767547,465000,Nettleden Avenue Wembley HA9,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767536,380000,Haydons Road London SW19,2,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50767532,545000,Spur House Wimbledon SW19,2,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50767538,580000,The View London SW15,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767510,484950,Belfield Road West Ewell Surrey. KT19,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767459,290000,Parsloes Avenue Dagenham RM9,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767438,1150000,Great North Road London N6,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767448,500000,Great North Road London N6,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767449,725000,Great North Road London N6,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767450,650000,Great North Road London N6,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767435,800000,Schubert Road Putney / Wandsworth SW15,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767364,370000,Old Inn House Carshalton Road Sutton SM1,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767368,300000,Lawrie Park Road Sydenham London . SE26,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767360,380000,Benhurst Gardens Selsdon South Croydon Surrey CR2,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767361,525000,Lower Barn Road Purley London . CR8,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767346,350000,Farley Road Catford London SE6,2,2019-01-11
https://www.zoopla.co.uk/new-homes/details/50767316,450000,Leon House 233 High Street Croydon CR0,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/43303974,675000,Moorgreen House Wynyatt Street London EC1V,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767284,430000,St Peters Road Uxbridge Greater London UB8,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767263,499950,Burford Road Worcester Park KT4,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767242,439950,Halton Road Kenley CR8,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767240,675000,Byron Avenue Coulsdon CR5,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767216,350000,Lee High Road Lee London SE12,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767171,699950,Leamington Avenue Morden SM4,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767135,975000,The Drive London NW11,6,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767130,230000,Epsom Road Seven Kings Essex IG3,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/48156011,469950,Thornton Road Little Heath Potters Bar EN6,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767090,425000,Northlands Potters Bar Herts EN6,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767046,300000,Suffolk Road Barking IG11,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50767039,550000,Queensway West Wickham BR4,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766997,335000,Linnet Close London SE28,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766991,1150000,Boileau Road Ealing W5,5,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766952,399995,Leslie Road Leyton E11,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/47843321,349995,Perth Road Gants Hill Ilford IG2,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766931,799950,Long Drive Acton W3,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766930,775000,The Bye East Acton W3,4,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766916,510000,Eastern Quay Apartments Royal Docks E16,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766911,370000,Bynes Road South Croydon CR2,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766894,434995,Shooters Road Enfield EN2,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766896,775000,Franciscan Road SW17 Furzedown,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766870,300000,London Road Kingston KT2,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766860,5950000,Prince Edward Mansions Moscow Road Westbourne Grove London W2,5,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766838,395000,Park Road Teddington TW11,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766833,795000,Greenwich Park Street Greenwich London SE10,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766821,249995,Elizabeth Court Valence Road Erith DA8,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766813,699950,Fulham Road Fulham SW6,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766803,1950000,Kent House Kensington Court London W8,2,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766788,435000,Leybourne Road Hillingdon Middlesex UB10,3,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766773,350000,Rathbone Market Barking Road London E16,1,2019-01-11
https://www.zoopla.co.uk/for-sale/details/50766767,625000,Holm Oak Close Putney SW15,3,2019-01-11
